DepMap_ID,Match_ID
ACH-002287,NCIH1876_LUNG
ACH-002341,NCIH1876_LUNG
ACH-000291,OV90_OVARY
ACH-000652,SUIT2_PANCREAS
ACH-000232,U251MG_CENTRAL_NERVOUS_SYSTEM
ACH-000608,COV644_OVARY
ACH-000347,QGP1_PANCREAS
ACH-000528,ABC1_LUNG
ACH-001514,HCC1419_BREAST
ACH-000374,HCC1419_BREAST
ACH-000578,HCC1419_BREAST
ACH-000111,HCC1419_BREAST
ACH-000868,HCC1419_BREAST
ACH-000901,HCC1419_BREAST
ACH-000699,HCC1419_BREAST
ACH-000277,HCC1419_BREAST
ACH-000352,HCC1419_BREAST
ACH-000891,HCC1419_BREAST
ACH-000878,HCC1419_BREAST
ACH-000349,HCC1419_BREAST
ACH-000930,HCC1419_BREAST
ACH-001078,HCC1419_BREAST
ACH-000196,HCC1419_BREAST
ACH-000624,HCC1419_BREAST
ACH-000712,HCC1419_BREAST
ACH-001079,HCC1419_BREAST
ACH-000223,HCC1419_BREAST
ACH-000859,HCC1419_BREAST
ACH-002373,HCC1419_BREAST
ACH-002374,HCC1419_BREAST
ACH-002375,HCC1419_BREAST
ACH-002378,HCC1419_BREAST
ACH-002382,HCC1419_BREAST
ACH-002384,HCC1419_BREAST
ACH-000507,KE39_STOMACH
ACH-000866,NCIH520_LUNG
ACH-000514,NCIH520_LUNG
ACH-000780,NCIH520_LUNG
ACH-000980,NCIH520_LUNG
ACH-000523,NCIH520_LUNG
ACH-000510,NCIH520_LUNG
ACH-000921,NCIH520_LUNG
ACH-000129,NCIH520_LUNG
ACH-000666,NCIH520_LUNG
ACH-000845,NCIH520_LUNG
ACH-000737,NCIH520_LUNG
ACH-000327,NCIH520_LUNG
ACH-001591,NCIH520_LUNG
ACH-000852,NCIH520_LUNG
ACH-000830,NCIH520_LUNG
ACH-000589,NCIH520_LUNG
ACH-000506,NCIH520_LUNG
ACH-000892,NCIH520_LUNG
ACH-000869,NCIH520_LUNG
ACH-000916,NCIH520_LUNG
ACH-000015,NCIH520_LUNG
ACH-000179,NCIH520_LUNG
ACH-000744,NCIH520_LUNG
ACH-000766,NCIH520_LUNG
ACH-000035,NCIH520_LUNG
ACH-000893,NCIH520_LUNG
ACH-000448,NCIH520_LUNG
ACH-000021,NCIH520_LUNG
ACH-000431,NCIH520_LUNG
ACH-000747,NCIH520_LUNG
ACH-000675,NCIH520_LUNG
ACH-000282,NCIH520_LUNG
ACH-001362,NCIH520_LUNG
ACH-000379,NCIH520_LUNG
ACH-000496,NCIH520_LUNG
ACH-000888,NCIH520_LUNG
ACH-000033,NCIH520_LUNG
ACH-000559,NCIH520_LUNG
ACH-000733,NCIH520_LUNG
ACH-000894,NCIH520_LUNG
ACH-001136,NCIH520_LUNG
ACH-000586,NCIH520_LUNG
ACH-000434,NCIH520_LUNG
ACH-000870,NCIH520_LUNG
ACH-000414,NCIH520_LUNG
ACH-000752,NCIH520_LUNG
ACH-000729,NCIH520_LUNG
ACH-000587,NCIH520_LUNG
ACH-001137,NCIH520_LUNG
ACH-000533,NCIH520_LUNG
ACH-000886,NCIH520_LUNG
ACH-000781,NCIH520_LUNG
ACH-000298,NCIH520_LUNG
ACH-000521,NCIH520_LUNG
ACH-000153,NCIH520_LUNG
ACH-000727,NCIH520_LUNG
ACH-000590,NCIH520_LUNG
ACH-000010,NCIH520_LUNG
ACH-000394,NCIH520_LUNG
ACH-000451,NCIH520_LUNG
ACH-000841,NCIH520_LUNG
ACH-000290,NCIH520_LUNG
ACH-000904,NCIH520_LUNG
ACH-000639,NCIH520_LUNG
ACH-000929,NCIH520_LUNG
ACH-000311,NCIH520_LUNG
ACH-000785,NCIH520_LUNG
ACH-001363,NCIH520_LUNG
ACH-001138,NCIH520_LUNG
ACH-000481,NCIH520_LUNG
ACH-000525,NCIH520_LUNG
ACH-000924,NCIH520_LUNG
ACH-000399,NCIH520_LUNG
ACH-000610,NCIH520_LUNG
ACH-000447,NCIH520_LUNG
ACH-000367,NCIH520_LUNG
ACH-000912,NCIH520_LUNG
ACH-000718,NCIH520_LUNG
ACH-000900,NCIH520_LUNG
ACH-000951,NCIH520_LUNG
ACH-000875,NCIH520_LUNG
ACH-000121,NCIH520_LUNG
ACH-000186,NCIH520_LUNG
ACH-000092,NCIH520_LUNG
ACH-000648,NCIH520_LUNG
ACH-000700,NCIH520_LUNG
ACH-000251,NCIH520_LUNG
ACH-001075,NCIH520_LUNG
ACH-000337,NCIH520_LUNG
ACH-000837,NCIH520_LUNG
ACH-000109,NCIH520_LUNG
ACH-001364,NCIH520_LUNG
ACH-000860,NCIH520_LUNG
ACH-000638,NCIH520_LUNG
ACH-000800,NCIH520_LUNG
ACH-000463,NCIH520_LUNG
ACH-000360,NCIH520_LUNG
ACH-000871,NCIH520_LUNG
ACH-000395,NCIH520_LUNG
ACH-000343,NCIH520_LUNG
ACH-000816,NCIH520_LUNG
ACH-000767,NCIH520_LUNG
ACH-000628,NCIH520_LUNG
ACH-001599,NCIH520_LUNG
ACH-000378,NCIH520_LUNG
ACH-000945,NCIH520_LUNG
ACH-000177,NCIH520_LUNG
ACH-000853,NCIH520_LUNG
ACH-000089,NCIH520_LUNG
ACH-000358,NCIH520_LUNG
ACH-000491,NCIH520_LUNG
ACH-000775,NCIH520_LUNG
ACH-000403,NCIH520_LUNG
ACH-000789,NCIH520_LUNG
ACH-000355,NCIH520_LUNG
ACH-001140,NCIH520_LUNG
ACH-000416,NCIH520_LUNG
ACH-000292,NCIH520_LUNG
ACH-001365,NCIH520_LUNG
ACH-000710,NCIH520_LUNG
ACH-000297,NCIH520_LUNG
ACH-000050,NCIH520_LUNG
ACH-000474,NCIH520_LUNG
ACH-002169,NCIH520_LUNG
ACH-002170,NCIH520_LUNG
ACH-002171,NCIH520_LUNG
ACH-002172,NCIH520_LUNG
ACH-002173,NCIH520_LUNG
ACH-002174,NCIH520_LUNG
ACH-002175,NCIH520_LUNG
ACH-002176,NCIH520_LUNG
